n,Laplacian2D|BOHRIUM,Biharmonic2D|BOHRIUM
8,0.0011488367803394795,0.002156297164037824
16,0.001098204543814063,0.002142189769074321
32,0.0011310575529932976,0.0021262376103550196
64,0.0011379540897905826,0.00218388712964952
128,0.001182060595601797,0.002219824539497495
256,0.001357145607471466,0.0024408997502177953
512,0.0018209196161478758,0.0029685739427804947
1024,0.0032906818203628065,0.004422671999782324
2048,0.009045247375070176,0.010473748024924134
4096,0.03176308815000084,0.032391728924994825
