n,Bohrium (CPU),Bohrium (GPU),GT4Py (CPU),GT4Py (GPU),JAX (CPU),JAX (GPU),NumPy
8,0.00631157960742712,0.00114883678033948,0.000795802101492882,0.000405183620750904,0.0000314,0.000215047970414162,0.0000109
16,0.0018617833731696,0.00109820454381406,0.000587639398872852,0.000399020221084356,0.00003,0.000219740904867649,0.000012
32,0.00168897428084165,0.0011310575529933,0.000575476093217731,0.00039825695566833,0.0000353,0.000211351551115513,0.0000164
64,0.00182769394014031,0.00113795408979058,0.000563332810997963,0.000395135255530477,0.0000431,0.00021705124527216,0.0000338
128,0.00193295239005238,0.0011820605956018,0.000571660464629531,0.000394444214180112,0.0000724,0.000202525872737169,0.000126674305647612
256,0.00251658090855926,0.00135714560747147,0.000601415522396565,0.000392994470894337,0.000185389537364244,0.000204307492822409,0.000422166660428047
512,0.00470135859213769,0.00182091961614788,0.000705445883795619,0.000410448340699077,0.000523823779076338,0.000226953998208046,0.00157249020412564
1024,0.0109148879302666,0.00329068182036281,0.00114300800487399,0.000468911835923791,0.00155489961616695,0.000310820993036032,0.00606881966814399
2048,0.0398021142696962,0.00904524737507018,0.00334808230400085,0.000670423824340105,0.00882041687145829,0.000813207123428583,0.0397610547952354
4096,0.151450908137485,0.0317630881500008,0.0115165326278657,0.00145657705143094,0.0476395231671631,0.00288029527291656,0.189672754378989
8192,0.612351768836379,,0.0638512030709535,0.00456092022359371,0.189180012326688,0.0109986304305494,0.755918962648138
16384,3.18049833718687,,0.253908941056579,,0.747207483975217,,2.58175286604092
