n,Laplacian2D|gt4py:gtx86,Biharmonic2D|gt4py:gtx86
8,0.0007958021014928818,0.000601448817178607
16,0.0005876393988728523,0.0005884920246899128
32,0.0005754760932177305,0.0005680844187736511
64,0.000563332810997963,0.0005715652368962765
128,0.0005716604646295309,0.0005830682348459959
256,0.0006014155223965645,0.0006537598092108965
512,0.000705445883795619,0.0009489229414612055
1024,0.001143008004873991,0.002076147124171257
2048,0.0033480823040008545,0.006868606666103005
4096,0.011516532627865672,0.02949729491956532
8192,0.06385120307095349,0.11842293990775943
16384,0.25390894105657935,0.4865053764078766
