n,Laplacian2D|gt4py:gtcuda,Biharmonic2D|gt4py:gtcuda
8,0.000405183620750904,0.000397723261266947
16,0.000399020221084356,0.000394958164542913
32,0.00039825695566833,0.000392505945637822
64,0.000395135255530477,0.000399743020534515
128,0.000394444214180112,0.000392115907743573
256,0.000392994470894337,0.000399409746751189
512,0.000410448340699077,0.000418980093672872
1024,0.000468911835923791,0.000512131024152041
2048,0.000670423824340105,0.000834282441064715
4096,0.00145657705143094,0.00213002390228212
8192,0.00456092022359371,0.00695780487731099
