Seq_n4,Seq_4n,Hil_n4,Hil_4n,Ran_n4,Ran_4n,,,,,
4.558229,4.950691,4.847193,5.221696,5.8344,5.919368,,,,,
4.574265,4.880159,4.887038,5.138194,5.754344,5.846668,,,,,
4.565185,4.872493,4.893715,5.042141,5.721348,5.851334,,,,,
4.556419,4.844104,4.886461,5.038503,5.812447,5.853656,,,,,
4.568846,4.881929,4.933014,5.054584,5.84205,5.858493,,,,,
4.525464,4.946514,4.898953,5.035761,5.742836,5.82202,,,,,
4.530294,4.909368,4.900216,5.055617,5.812373,5.824831,,,,,
4.521597,5.029052,4.863686,5.059292,5.834916,5.857241,,,,,
4.556947,4.878658,4.889024,5.03022,5.85383,5.837402,,,,,
4.57621,4.963685,4.887944,5.04739,5.827116,5.846796,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
